"age","chapter_owner","display_name","mod_or_cluster","branch_type","target_quest_count","current_live_quest_count","current_coverage_level","status","inbound_links","outbound_links","notes"
"Ascension","ascension_projecte_exchange_ethics","ProjectE Exchange Ethics","ProjectE","spine","34","0","none","scaffolded","ascension_prestige_crafting","","ProjectE remains late and deliberate so EMC does not flatten earlier resource ladders."
"Expedition Age","annex_wda_bridge","WDA Bridge","When Dungeons Arise + Waystones + Clavis","support","12","0","none","scaffolded","expedition_treasure_routes_and_clavis_ii","",""
"Expedition Age","blaze_breakthrough","Blaze Breakthrough","Minecraft + BetterNether + Hellish Trials","gate","20","1","full/core","active","expedition_ae2_entry; expedition_ars_nouveau; expedition_enchanting_and_apotheosis_followup; expedition_workshop_and_industrial_prep; expedition_betternether_materials_and_adaptation; expedition_fortresses_and_hellish_trials","expedition_luminous_nether_climax; expedition_bomd_nether_gauntlet","Blaze is now a mandatory Nether branch proof instead of the Automation gate. It validates fortress routing, blaze loot, and brewing heat before the Luminous hunt and BOMD Gauntlet capstone."
"Expedition Age","diamonds_and_branch_unlocks","Diamonds and Branch Unlocks","Minecraft","spine","24","6","partial","bounded","diamond_threshold","",""
"Expedition Age","expedition_aether_and_deep_aether","Aether and Deep Aether","Aether + Deep Aether","side","28","0","none","scaffolded","mechanical_age_boss_hunts; expedition_storage_uplift","","Keep deferred until tech payoff is defined."
"Expedition Age","expedition_aether_twilight_first_destinations","Aether and Twilight First Destinations","Aether + Deep Aether + Twilight Forest + Waystones + Sophisticated Backpacks","side","16","14","meaningful","active","diamonds_and_branch_unlocks","","Now covers truthful first-contact realm utility: skyroot storage, ambrosium lighting, zanite ring, altar, raw clorite contact, and Twilight map support without over-tier boss asks."
"Expedition Age","expedition_nether_entry_and_route_survival","Nether Entry and Route Survival","Minecraft + YUNG's Better Nether Fortresses","side","14","5","meaningful","active","diamonds_and_branch_unlocks","expedition_betternether_materials_and_adaptation; expedition_fortresses_and_hellish_trials; blaze_breakthrough","Live Nether opener for portal entry, piglin-safe footing, glowstone return stock, magma-cream fire planning, and strider travel so the Nether feels like a route problem instead of a one-stop blaze errand."
"Expedition Age","expedition_betternether_materials_and_adaptation","BetterNether Materials and Adaptation","BetterNether","side","18","8","meaningful","active","expedition_nether_entry_and_route_survival","blaze_breakthrough","Live BetterNether branch now covers reed support, Cincinnasite shards and ingots, forged stock, the Cincinnasite Forge, Nether Ruby material, and one real local weapon payoff."
"Expedition Age","expedition_fortresses_and_hellish_trials","Fortresses and Hellish Trials","Hellish Trials + YUNG's Better Nether Fortresses + EternalNether","side","12","6","meaningful","active","expedition_nether_entry_and_route_survival","blaze_breakthrough; expedition_luminous_nether_climax","Live Nether combat branch now chains fortress wart routing into Nether Trial proof, then EternalNether warped-ender-pearl and withered-bone combat proof, then Catacomb contact before the late Luminous hunts and final BOMD Gauntlet capstone."
"Expedition Age","expedition_luminous_nether_climax","Luminous Nether Hunts","Luminous Nether + EternalNether + Minecraft","side","16","3","meaningful","active","expedition_fortresses_and_hellish_trials; blaze_breakthrough","expedition_bomd_nether_gauntlet","Live late-Nether hunt branch. Ash Forest contact opens Luminous routing, Piglin Executioner acts as the mandatory branch kill, and Basalt Executioner stays as a harder follow-up hunt without owning the Automation gate."
"Expedition Age","expedition_bomd_nether_gauntlet","Nether Gauntlet Conquest","Bosses of Mass Destruction + Minecraft + Luminous Nether","gate","14","3","meaningful","active","expedition_luminous_nether_climax","industrial_nether_logistics_and_ore_escalation","Live final Nether capstone chapter. Finding Gauntlet Blackstone proves you found the BOMD arena, Nether Gauntlet defeat is the real Expedition -> Automation gate, and Blazing Eye is the immediate return-home payoff."
"Expedition Age","expedition_nautec_underwater_first_contact","Nautec Underwater First Contact","NauTec + Waystones + Sophisticated Backpacks","side","20","13","meaningful","active","expedition_aether_twilight_first_destinations","","Live bounded underwater Expedition branch: salt water, underwater salvage parts, cast iron, diving gear, air bottles, Aquatic Catalyst, repaired chips, and Prism Monocle utility without widening into full laser chemistry or augmentation."
"Expedition Age","expedition_rpg_first_contacts","DivineRPG and JITL First Contacts","DivineRPG + Journey Into The Light","side","20","19","meaningful","active","expedition_aether_twilight_first_destinations","","Live bounded RPG branch now reaches its first real boss-linked unlock surface: the Rockite Smasher's Journey Key opens a controlled next layer with sapphire-shield and rupee-helmet follow-through while full realm ladders stay deferred."
"Expedition Age","expedition_apotheosis_and_enchanting","Apotheosis and Enchanting","Apotheosis + Apothic Enchanting + Apothic Attributes","spine","40","0","none","scaffolded","diamonds_and_branch_unlocks","",""
"Expedition Age","expedition_ars_nouveau","Ars Nouveau","Ars Nouveau","spine","48","8","partial","active","diamonds_and_branch_unlocks","","Now extends past apparatus entry with documentation, source storage, and one practical sourcelink payoff."
"Expedition Age","expedition_boss_hunts","Expedition Boss Hunts","Aether + Twilight Forest + The Undergarden + Minecraft","boss","19","0","none","scaffolded","expedition_aether_and_deep_aether; expedition_twilight_forest; expedition_undergarden_and_deeper_frontiers","","Future Expedition boss spine: sequential realm and dark-frontier bosses should unlock storage, magic, workshop, and final Automation access."
"Expedition Age","expedition_enchanting_and_apotheosis_entry","Enchanting and Apotheosis Entry","Minecraft + Apotheosis","support","16","5","partial","bounded","diamonds_and_branch_unlocks","",""
"Expedition Age","expedition_enchanting_and_apotheosis_followup","Enchanting and Apotheosis Follow-Up","Minecraft + Apotheosis","support","16","6","partial","active","expedition_enchanting_and_apotheosis_entry","","Now includes Salvaging Table as the first honest Apotheosis utility payoff after gem cutting."
"Expedition Age","expedition_ae2_entry","AE2 Starter Network","Applied Energistics 2 + Sophisticated Storage","spine","16","10","meaningful","active","expedition_storage_uplift","blaze_breakthrough; industrial_nether_logistics_and_ore_escalation","Required Expedition digital-storage baseline with first terminal, drive, cells, bus integration, power input, and controller support."
"Expedition Age","expedition_refined_storage_entry","Refined Storage Optional","Refined Storage + RSRequestify","support","16","7","partial","bounded","expedition_storage_uplift","","Optional alternate storage lane; no gate ownership."
"Expedition Age","expedition_storage_uplift","Storage Uplift","Applied Energistics 2 + Sophisticated Storage","spine","38","7","partial","active","diamonds_and_branch_unlocks","expedition_ae2_entry; expedition_refined_storage_entry","Now includes Storage Controller and Storage Link so the chest-upgrade path feeds later network use instead of stopping at bigger boxes."
"Expedition Age","expedition_treasure_routes_and_clavis_ii","Treasure Routes and Clavis II","Clavis + Lootr + Waystones","side","20","0","none","scaffolded","stone_treasure_and_lock_tiers; stone_travel_and_controlled_combat","",""
"Expedition Age","expedition_twilight_forest","Twilight Forest","Twilight Forest","side","28","0","none","scaffolded","mechanical_age_boss_hunts; expedition_storage_uplift","","Keep deferred until tech payoff is defined."
"Expedition Age","expedition_undergarden_and_deeper_frontiers","Undergarden First Contact","The Undergarden","side","24","9","partial","active","expedition_aether_twilight_first_destinations","expedition_small_ships_and_water_routes","Live bounded dark-frontier branch now goes one step past first contact with goo-ball and lead utility, while still stopping short of infuser progression, deeper frontiers, and boss asks."
"Expedition Age","expedition_small_ships_and_water_routes","Small Ships and Water Routes","Small Ships + Minecraft + The Undergarden","side","10","6","meaningful","active","expedition_aether_twilight_first_destinations; expedition_undergarden_and_deeper_frontiers","","Live bounded travel-tech branch now includes drakkar and galley follow-through, turning first ship access into real route-role choices instead of decorative boat padding."
"Expedition Age","expedition_workshop_and_industrial_prep","Workshop and Industrial Prep","Minecraft + Create + Immersive Engineering","spine","20","12","meaningful","active","diamonds_and_branch_unlocks; mechanical_create_foundations; mechanical_engineers_handwork","expedition_ae2_entry; blaze_breakthrough; industrial_nether_logistics_and_ore_escalation","Live Nether return loop chapter. Feeds AE2 growth, Create workshop maturity, IE material prep, and the first Automation on-ramp, now as one lane inside a broader Nether progression family."
"Industrial Age","dragonfall_and_end_access","Dragonfall and End Access","Minecraft + L_Ender's Cataclysm","gate","16","6","meaningful","active","industrial_modern_industrialization; industrial_industrial_foregoing; industrial_petroleum_and_extraction; industrial_create_process_infrastructure; industrial_hostile_neural_networks; industrial_boss_hunts","nuclear_entry_and_containment_protocols","Live Industrial -> Nuclear gate. Factory maturity, Industrial conquest proof, End access, Ender Dragon defeat, outer-End proof through an elytra, Ancient Factory routing, and The Harbinger now form one conquest bridge that grants `nuclear_age`."
"Industrial Age","industrial_boss_hunts","Industrial Boss Hunts","Cataclysm + Alex's Caves + Ice and Fire","boss","16","9","meaningful","active","industrial_create_process_infrastructure; industrial_petroleum_and_extraction; industrial_industrial_foregoing; industrial_hostile_neural_networks; industrial_pneumaticcraft; industrial_integrated_dynamics","dragonfall_and_end_access","Live Industrial branch-boss spine. Factory-backed strike readiness now feeds Cataclysm's Burning Arena and Netherite Monstrosity, Alex's Caves Forlorn Hollows and the Forsaken, and an Ice and Fire dragon-scale hunt after power, pressure, fuel, and programmable control are all online."
"Automation Age","industrial_factory_logistics","Factory Logistics","Create + Sophisticated Storage + More Red","support","44","14","partial","active","industrial_oritech","industrial_power_grids","Bounded support lane for routing, buffering, flow control, and machine-line organization around the first Oritech factory lines."
"Industrial Age","industrial_create_process_infrastructure","Create Process Infrastructure","Create + Create Additions + Create New Age + Create Metalwork + Create Oritech Compat + Assembly Line","support","38","17","meaningful","active","industrial_power_grids; industrial_modern_industrialization","industrial_petroleum_and_extraction; industrial_pneumaticcraft; dragonfall_and_end_access","Live dense Create-side Industrial support arc now covers mechanical crafting, fluid tanks and pumps, spouts, energising, heat pipes, powered heaters, molten brass handling, rolling mills, and the first electric motor/alternator line. In the redesign this stays the physical factory-infrastructure bush, not the owner of hazardous Nuclear systems."
"Industrial Age","industrial_petroleum_and_extraction","Petroleum and Extraction","TFMG + Create Ore Excavation + Railways + Create","support","34","15","meaningful","active","industrial_modern_industrialization; industrial_create_process_infrastructure","industrial_pneumaticcraft; dragonfall_and_end_access","Live petroleum and anchored-extraction support arc now covers surveying, pumpjack structure, distillation parts, firebox heat, anchored drilling/extraction, and the first rail-fuel handoff. It remains the shared oil backbone that later Nuclear and pressure systems should consume rather than duplicate."
"Industrial Age","industrial_hostile_neural_networks","Hostile Neural Networks","Hostile Neural Networks + Hostile Neural Industrialization + Industrial Foregoing","support","24","7","partial","active","industrial_industrial_foregoing","space_late_game_agriculture_and_synthesis","Live starter HNN arc now covers model setup, prediction matrices, the first simulation chamber, and real overworld/nether prediction output. Loot fabrication stays deferred until the later Space synthesis age."
"Industrial Age","industrial_industrial_foregoing","Industrial Foregoing","Industrial Foregoing + Industrial Foregoing Souls","support","38","13","meaningful","active","industrial_modern_industrialization","industrial_hostile_neural_networks; dragonfall_and_end_access","Live starter IF support arc now covers latex -> dry rubber -> plastic -> dissolution chamber -> simple frames -> plant machines -> biofuel support. In the redesign it remains one of Industrial's main applied-automation branches."
"Industrial Age","industrial_integrated_dynamics","Integrated Dynamics","Integrated Dynamics + Integrated Tunnels + Integrated Crafting + Integrated Terminals","support","28","17","meaningful","active","expedition_ae2_entry; industrial_factory_logistics; industrial_power_grids; industrial_modern_industrialization; industrial_pneumaticcraft","industrial_boss_hunts; nuclear_chemical_storage_and_digital_bridges","Live Industrial control-and-policy branch. It now teaches Menril processing, variables, readers/writers, smart item/fluid/energy transfer, bounded crafting policy, and portable terminals so the campus becomes programmable without pretending to replace AE2."
"Industrial Age","industrial_modern_industrialization","Modern Industrialization","Modern Industrialization + Extended Industrialization + Modern Dynamics + MI Sound Addon","spine","52","16","meaningful","active","industrial_power_grids","dragonfall_and_end_access; industrial_create_process_infrastructure; industrial_petroleum_and_extraction; industrial_industrial_foregoing; industrial_pneumaticcraft","Live Industrial starter arc now covers forge hammer -> bronze -> steam machines -> Modern Dynamics support -> first steel. The redesign promotes MI to one of the core factory-campus pillars of Industrial."
"Automation Age","industrial_nether_logistics_and_ore_escalation","Nether Logistics and Ore Escalation","Minecraft + AllTheOres + Create + Immersive Engineering","spine","28","14","meaningful","active","expedition_bomd_nether_gauntlet; expedition_workshop_and_industrial_prep","industrial_oritech; industrial_factory_logistics; industrial_power_grids","First real automation-transition chapter. Adds ore escalation, batching stock, Create + IE logistics identity, and a clean handoff into the first Oritech backbone after Nether Gauntlet conquest is complete."
"Automation Age","industrial_oritech","Oritech","Oritech + Oritech Things","spine","32","23","meaningful","active","industrial_nether_logistics_and_ore_escalation","industrial_factory_logistics; industrial_power_grids; industrial_oritech_escalation","Live Automation backbone for first powered processing, starter machine chaining, and repeatable throughput."
"Industrial Age","industrial_oritech_escalation","Oritech Escalation","Oritech + Oritech Things","spine","24","0","none","scaffolded","industrial_power_grids","","Late Oritech scale-up and payoff branch after the Automation starter chapter. This is the dense machine-campus follow-through before Nuclear rehomes hazardous escalation."
"Industrial Age","industrial_pneumaticcraft","PneumaticCraft","PneumaticCraft + Applied Pneumatics","support","30","15","meaningful","active","industrial_power_grids; industrial_modern_industrialization; industrial_create_process_infrastructure; industrial_petroleum_and_extraction; industrial_industrial_foregoing","industrial_boss_hunts","Live Industrial pressure-specialization branch. It now uses explosion-forged compressed iron as the truthful opener, teaches safe pressure control before scale, consumes the shared crude-oil backbone through refinery -> LPG -> plastic, builds a real pressure chamber, and ends with one bounded Applied Pneumatics crossover instead of opening a rival oil tree."
"Nuclear Age","nuclear_entry_and_containment_protocols","Containment Protocols","Minecraft + Mekanism + Nuclear Science","spine","24","8","meaningful","active","dragonfall_and_end_access","nuclear_mekanism_processing_and_chemicals; nuclear_defense_systems_and_strategic_force","Live Nuclear opener. It now sits correctly behind `nuclear_age` and uses hazmat gear, shielding, scrubbers, waste barrels, chemical buffering, and the first Nuclear Science extractor/centrifuge line to establish containment-first play before reactors."
"Nuclear Age","nuclear_mekanism_processing_and_chemicals","Mekanism Processing and Chemicals","Mekanism + Mekanism Additions + Mekanism Tools + mekmm + mekanism_tfmg_compat","spine","56","10","meaningful","active","nuclear_entry_and_containment_protocols","nuclear_reactors_isotopes_and_hazardous_power; nuclear_chemical_storage_and_digital_bridges","Live Nuclear main pillar now covers the first honest hazardous Mekanism line: foundational machines, purification, electrolytic separation, gas buffering, oxidizing, infusing, dissolution, washing, crystallization, and reaction control."
"Nuclear Age","nuclear_reactors_isotopes_and_hazardous_power","Reactors, Isotopes, and Hazardous Power","Mekanism Generators + Nuclear Science + Extreme Reactors + Create New Age","spine","48","10","meaningful","active","nuclear_mekanism_processing_and_chemicals","nuclear_defense_systems_and_strategic_force; nuclear_boss_hunts","Live Nuclear reactor-campus pillar now covers fission shell stock, reactor logic, waste handling, Nuclear Science core/boiler support, Extreme Reactors frame/control, and the first turbine-campus proof."
"Nuclear Age","nuclear_strategic_power_and_hardened_grids","Strategic Power and Hardened Grids","Electrodynamics + Dynamic Electricity + Generator Galore + Create New Age + Nuclear Science","support","32","9","meaningful","active","dragonfall_and_end_access; nuclear_entry_and_containment_protocols; nuclear_reactors_isotopes_and_hazardous_power","nuclear_defense_systems_and_strategic_force; nuclear_boss_hunts; space_launch_threshold","Live hardened-grid spine for Nuclear. It now teaches ceramic insulation, advanced transformers, monitored substations, reserve battery yards, backup generation, alternator/commutator transfer, reactor-service gas support, laser-power backing, and quantum-capacitor campus relays before the age escalates into strategic force and catastrophic hunts."
"Nuclear Age","nuclear_defense_systems_and_strategic_force","Defense Systems and Strategic Force","Ballistix + Mekanism Turrets + Mekanism Lasers + Modular Force Fields + Evolved Mekanism","spine","34","9","meaningful","active","nuclear_entry_and_containment_protocols; nuclear_reactors_isotopes_and_hazardous_power; nuclear_strategic_power_and_hardened_grids","nuclear_boss_hunts","Live Nuclear combat/defense pillar. It now sits downstream of the hardened-grid spine so radar, turrets, laser hardware, missile platforms, force-field geometry, and dense-energy backing all read like a real war-facility branch instead of detached weapons."
"Nuclear Age","nuclear_chemical_storage_and_digital_bridges","Chemical Storage and Digital Bridges","Applied Mekanistics + RS Mekanism Integration + Mekanism Covers + AE2 + Refined Storage","support","26","8","meaningful","active","nuclear_mekanism_processing_and_chemicals; expedition_ae2_entry","nuclear_boss_hunts; space_advanced_storage_and_digital_networks","Live Nuclear logistics bridge. It now teaches chemical cell housing, AE2 chemical storage, covered hazardous routing, entangloporter handoff, and a bounded RS chemical sidebridge before Space-scale network growth."
"Nuclear Age","nuclear_boss_hunts","Nuclear Boss Hunts","Alex's Caves + Cataclysm","boss","24","4","meaningful","active","nuclear_strategic_power_and_hardened_grids; nuclear_defense_systems_and_strategic_force; nuclear_reactors_isotopes_and_hazardous_power; nuclear_chemical_storage_and_digital_bridges","space_launch_threshold","Live Nuclear boss spine. A prepared strike kit now launches from a hardened facility baseline, so Nucleeper, Magnetron, and Netherite Monstrosity read as catastrophic validators of a complete war-campus instead of detached reactor side content."
"Nuclear Age","space_launch_threshold","Space Launch Threshold","Minecraft + Cataclysm + Alex's Caves","gate","16","0","none","scaffolded","nuclear_reactors_isotopes_and_hazardous_power; nuclear_strategic_power_and_hardened_grids; nuclear_defense_systems_and_strategic_force; nuclear_chemical_storage_and_digital_bridges; nuclear_boss_hunts","","New Nuclear main-boss gate. This remains the future launch-authority surface and should consume the full live Nuclear facility stack regardless of the eventual off-world owner."
"Automation Age","industrial_power_grids","Power Grids","Create New Age + Electrodynamics + Extreme Reactors + Generator Galore","support","40","12","partial","active","industrial_factory_logistics","industrial_oritech_escalation; industrial_modern_industrialization; industrial_industrial_foregoing; industrial_pneumaticcraft","Live support lane for first stable generation, storage buffering, and distribution across Automation-age Oritech and AE2-connected factory infrastructure."
"Mechanical Age","annex_minecolonies_bridge","Minecolonies Bridge","Minecolonies + Minecolonies Questline","support","25","0","none","scaffolded","mechanical_workshop_logistics_and_storage","",""
"Mechanical Age","diamond_threshold","Expedition Threshold","Minecraft","gate","20","1","full/core","bounded","mechanical_rotational_power_and_first_logistics; mechanical_food_and_farm_handling; mechanical_engineers_handwork; mechanical_workshop_logistics_and_storage","","Gate now checks real Mechanical capstones plus a stocked workshop, then unlocks Expedition Age without leaking raw diamonds early."
"Mechanical Age","mechanical_age_boss_hunts","Mechanical Age Boss Hunts","Twilight Forest + Aether + Bosses of Mass Destruction","boss","25","8","meaningful","active","mechanical_dungeon_readiness; diamond_threshold","","Live bounded sequential validation spine: Aether entry -> bronze/silver dungeon and Twilight hunter -> naga/lich, with BOMD gauntlet kept as optional extra proof."
"Mechanical Age","mechanical_create_food_relief","Create Food Relief","Create + Create Integrated Farming + Slice and Dice + Farmer's Delight + Cooking for Blockheads + Aquaculture + Ocean's Delight","support","38","12","meaningful","active","mechanical_food_and_farm_handling; stone_food_and_farming_pressures","","Live kitchen utility arc now includes the honest knife -> straw -> safety net/canvas support path before fishing nets, roosts, and kitchen storage."
"Mechanical Age","mechanical_create_foundations","Create Foundations","Create","spine","56","7","partial","bounded","mechanical_ironwork_and_workstations","",""
"Mechanical Age","mechanical_dungeon_readiness","Mechanical Dungeon Readiness","Apotheosis + Artifacts + Relics","side","36","10","meaningful","active","mechanical_workshop_logistics_and_storage","","Live readiness branch now ties shield+armor+rations to Apotheosis affix contact, first Artifact proof, Relics worktable contact, and return-safe pearl fallback before boss validation."
"Mechanical Age","mechanical_early_utility_machines","Early Utility Machines","Create Additions + Botany Pots + Generator Galore","support","36","11","meaningful","active","mechanical_create_foundations","","Live bounded utility branch now covers Create Additions connectors/capacitors/rolling mill, Generator Galore starter generation, and Botany Pots hopper automation without widening into industrial grids."
"Mechanical Age","mechanical_engineers_handwork","Engineer's Handwork","Immersive Engineering + Create","support","36","13","partial","active","mechanical_ironwork_and_workstations","expedition_workshop_and_industrial_prep","Live starter IE support chapter. Tracks the real Coke Oven, treated wood, wiring, connector, and workbench path without questing fake formed-machine items."
"Mechanical Age","mechanical_food_and_farm_handling","Mechanical Farming and Food Handling","Create + Farmer's Delight + Multiblock Farming","support","32","18","meaningful","active","mechanical_rotational_power_and_first_logistics","mechanical_create_food_relief","Now includes Aquaculture and Ocean's Delight follow-through (worm farm, iron rod, fillet path, and ocean salad/rations) as practical food-route support."
"Mechanical Age","mechanical_ironwork_and_workstations","Ironwork and Workstations","Minecraft + Iron Furnaces + Cooking for Blockheads + Immersive Engineering","spine","40","15","meaningful","active","entering_the_iron_era","mechanical_create_foundations; mechanical_engineers_handwork","Now deepened with hand-crank/wrench setup plus first fluid routing (pipes, tank, pump) and item-vault logistics support around the existing iron+IE backbone."
"Mechanical Age","mechanical_rotational_power_and_first_logistics","Rotational Power and First Logistics","Create","support","22","7","partial","bounded","mechanical_create_foundations","",""
"Mechanical Age","mechanical_workshop_logistics_and_storage","Workshop Logistics and Storage","Sophisticated Storage + Sophisticated Backpacks + Iron Chests + Minecraft","support","38","12","meaningful","active","mechanical_ironwork_and_workstations","","Now extended with backpack restock/magnet upgrades plus storage I/O surfaces for cleaner workshop routing before digital storage."
"Space Age","space_launch_infrastructure_and_stellaris","Launch Infrastructure and Stellaris","Stellaris","spine","34","0","none","scaffolded","space_launch_threshold","","New Space mainline. Rehomes Space Age around rockets, oxygen, stations, and actual off-world travel instead of generic late tech."
"Space Age","space_orbital_life_support_and_logistics","Orbital Life Support and Logistics","Stellaris","support","24","0","none","scaffolded","space_launch_infrastructure_and_stellaris","","New Space support branch for oxygen discipline, orbital resupply, and remote-site operation."
"Space Age","space_advanced_storage_and_digital_networks","Advanced Storage and Digital Networks","AE2 + AdvancedAE + ExtendedAE + Mega Cells + Refined Storage","spine","36","0","none","scaffolded","space_launch_infrastructure_and_stellaris; expedition_storage_uplift; nuclear_chemical_storage_and_digital_bridges","","Late digital infrastructure branch. Full network scale now belongs after launch and Nuclear hazardous logistics."
"Space Age","space_boss_hunts","Space Boss Hunts","Draconic Evolution + Cataclysm + Bosses of Mass Destruction + fdbosses","boss","20","0","none","scaffolded","space_launch_infrastructure_and_stellaris; space_antimatter_and_cosmic_refinement; space_draconic_evolution","","Future Space boss spine for cosmic and post-launch threats."
"Space Age","space_draconic_evolution","Draconic Evolution","Draconic Evolution + Draconic Additions","support","26","0","none","scaffolded","space_antimatter_and_cosmic_refinement; space_advanced_storage_and_digital_networks","","Late cosmic power and chaos branch. This now sits above launch and late digital scale, not beside a generic Mekanism bucket."
"Space Age","space_ender_io_networks","Ender IO Networks","Ender IO + Immersive Energistics","support","24","0","none","scaffolded","space_launch_infrastructure_and_stellaris","","Late conduit and interop utility branch for remote and off-world bases."
"Space Age","space_late_game_agriculture_and_synthesis","Late-Game Agriculture and Synthesis","Mystical Agriculture + Mystical Agradditions + Industrial Foregoing + Hostile Neural Networks + Solar Flux Reborn","spine","30","0","none","scaffolded","space_antimatter_and_cosmic_refinement; industrial_hostile_neural_networks","","Late synthesis branch. Resource multiplication and photovoltaic scale now sit after launch and Nuclear maturity."
"Space Age","space_antimatter_and_cosmic_refinement","Antimatter and Cosmic Refinement","Mekanism + Mekanism Generators + Applied Mekanistics","spine","30","0","none","scaffolded","space_launch_infrastructure_and_stellaris; nuclear_mekanism_processing_and_chemicals; nuclear_reactors_isotopes_and_hazardous_power","","Late Mekanism follow-through. Space now owns antimatter and cosmic-grade refinement rather than the whole Mekanism ladder."
"Space Age","ascension_threshold","Ascension Threshold","Minecraft + fdbosses + Block Factory's Bosses + ArPhEx + Draconic Evolution","gate","16","0","none","scaffolded","space_draconic_evolution; space_late_game_agriculture_and_synthesis; space_boss_hunts","","Future Space main-boss gate after launch, digital scale, synthesis, draconic power, and cosmic boss completion."
"Stone Age","entering_the_iron_era","Entering the Mechanical Age","Minecraft","gate","20","1","full/core","bounded","stone_water_weather_and_wounds; stone_food_and_farming_pressures; stone_travel_and_controlled_combat","","Gate now checks survival-readiness capstones plus stable travel supplies before granting Mechanical Age."
"Stone Age","stone_age_boss_hunts","Stone Age Boss Hunts","Minecraft + Aether + Twilight Forest","boss","20","0","none","scaffolded","stone_travel_and_controlled_combat; entering_the_iron_era","","Stone exception: this should stay optional or preparatory if implemented. Stone should exit through survival, travel, and readiness validation, not a mandatory boss kill."
"Stone Age","stone_awakening_and_salvage","Awakening and Salvage","Minecraft + Legendary Survival Overhaul","spine","36","0","none","scaffolded","","","Missing foundation chapter; fill before widening Stone side content."
"Stone Age","stone_food_and_farming_pressures","Food and Seasonal Stability","Minecraft + Farmer's Delight + Aquaculture + Ocean's Delight + Legendary Survival Overhaul + Serene Seasons","spine","78","8","partial","active","stone_water_weather_and_wounds","","Hydration and temperature reminders were moved back into the survival-onboarding lane so this chapter can focus on food stability, seasons, and manual farming."
"Stone Age","stone_tools_materials_and_binding","Tools, Materials, and Binding","Minecraft + TreeChop","spine","40","0","none","scaffolded","stone_awakening_and_salvage","","Missing foundation chapter; fill before widening Stone side content."
"Stone Age","stone_travel_and_controlled_combat","Travel and Controlled Combat","Waystones + Explorer's Compass + Nature's Compass + When Dungeons Arise + YUNG's structures + Artifacts","side","75","12","meaningful","active","stone_water_weather_and_wounds; stone_food_and_farming_pressures","","This chapter is productive but oversized; split or rebalance before late production."
"Stone Age","stone_treasure_and_lock_tiers","Treasure and Lock Tiers","Clavis + Lootr","side","30","0","none","scaffolded","stone_travel_and_controlled_combat","",""
"Stone Age","stone_water_weather_and_wounds","Water, Shelter, and Wounds","Legendary Survival Overhaul + Serene Seasons + Minecraft","spine","42","10","meaningful","active","stone_awakening_and_salvage","stone_food_and_farming_pressures; stone_travel_and_controlled_combat; entering_the_iron_era","Merged shelter onboarding into the first survival chapter so water, heat, injuries, lighting, and reserve prep are taught together."
